cast,certificate,genre,grosscollection,imdbrating,imglinks,metascore,movie,noofvotes,plot,production_year,release_date,runtime,tconst,gtrendssearch,date
"     Director: Charudutt Acharya |      Stars: Rhea Chakraborty,  Ali Fazal,  Raghav Juyal,  Swanand Kirkire ",UA,Drama            ,NA,5.6,"https://ia.media-imdb.com/images/M/MV5BMjcxMjc2OTkyM15BMl5BanBnXkFtZTgwNTc1MTEyNDE@._V1_UY209_CR8,0,140,209_AL_.jpg",-1,Sonali Cable,716,"    Sonali, a spunky self-made internet operator, proudly runs a small outfit along with her band of ghetto boys catering to a sprawling Mumbai suburb. Complications arise when Sonali's ...                See full summary »",2014,17-Oct-14,127 min,tt2871010,Sonali Cable,2014-10-17
"     Director: Ravindra Gautam |      Stars: Anupam Kher,  Neha Dhupia,  Divyendu Sharma,  Manu Rishi Chadha ",NA,Comedy            ,NA,6.1,"https://ia.media-imdb.com/images/M/MV5BMjM3MzY0MjYzM15BMl5BanBnXkFtZTgwNzg3MzM3MjE@._V1_UY209_CR2,0,140,209_AL_.jpg",-1,Ekkees Toppon Ki Salaami,440,"    Follows two brothers and their quest to fulfill their father's last wish, a twenty-one gun salute.",2014,10-Oct-14,140 min,tt3847072,Ekkees Toppon Ki Salaami,2014-10-10
"     Director: Akshay Akkineni |      Stars: Akshay Oberoi,  Parvathy Omanakuttan,  Arunoday Singh,  Dipannita Sharma ",A,Horror            ,NA,6.3,"https://ia.media-imdb.com/images/M/MV5BNDk4YmQxZGQtNjNmOC00ZmVhLWI4ZDEtMGE2ZGY2NjVhZjFlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg",-1,Pizza,711,    A Pizza delivery boy's mundane life takes a horrifying turn when he is sent to make a delivery to the home of a family who have a dark secret. Will he be able to overcome the evil that lurks in the shadows and live to tell his tale?,2014,18-Jul-14,107 min,tt3794302,Pizza,2014-07-18
"     Director: Akhilesh Jaiswal |      Stars: Rahul Bagga,  Tara-Alisha Berry,  Aakash Dahiya,  Istiyak Khan ",A,"Biography, Drama            ",NA,4.8,"https://ia.media-imdb.com/images/M/MV5BNDM2ZTAwNWYtMDE1My00ZDIwLTgwMTEtY2RmNDU5OTAxNjJjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR3,0,140,209_AL_.jpg",-1,Mastram,392,    How a clerk became an erotica writer.,2013,09-May-14,98 min,tt3431714,Mastram,2014-05-09
"     Director: Aman Sachdeva |      Stars: Siddharth Gupta,  Simran Kaur Mundi,  Somesh Agarwal,  Pallavi Batra ",U,"Comedy, Romance            ",NA,5.4,"https://ia.media-imdb.com/images/M/MV5BMDZjYWNlZDMtMmY3Yi00OTdkLTg3NGUtMDEwZWI0YjJiMGQxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR3,0,140,209_AL_.jpg",-1,Kuku Mathur Ki Jhand Ho Gayi,226,"    When Kuku's friend is unable to give him enough time, he uses improper ways to get him back.",2014,30-May-14,109 min,tt2998196,Kuku Mathur Ki Jhand Ho Gayi,2014-05-30
"     Director: Feroz Abbas Khan |      Stars: Satish Kaushik,  Tanvi Azmi,  Vinay Jain,  Sharad Ponkshe ",NA,Comedy            ,NA,6.1,"https://ia.media-imdb.com/images/M/MV5BMTQxNzAyODkyNV5BMl5BanBnXkFtZTgwMjY1NTA3MTE@._V1_UY209_CR2,0,140,209_AL_.jpg",-1,Dekh Tamasha Dekh,268,"    A social and political satire about a true incident,it revolves around the search for the religious identity of a poor man crushed under the weight of a politician's hoarding. The film explores an Impossible India where bizarre is normal.",2014,18-Apr-14,110 min,tt3672618,Dekh Tamasha Dekh,2014-04-18
"     Director: Shaad Ali |      Stars: Ranveer Singh,  Ali Zafar,  Parineeti Chopra,  Govinda ",UA,"Action, Drama, Romance            ",NA,4.4,"https://ia.media-imdb.com/images/M/MV5BZWI0YmI2NmQtMzdjZS00Yzk1LTljZWQtZGE0Y2I5YmZjYWY2XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_UY209_CR8,0,140,209_AL_.jpg",-1,Kill Dil,3333,"    Abandoned when young, Bhaiyaji gives shelter to Dev and Tutu. A game of defiance, deception and love follows when free-spirited Disha enters their life.",2014,14-Nov-14,127 min,tt3380264,Kill Dil,2014-11-14
"     Director: Kabir Sadanand |      Stars: Jimmy Sheirgill,  Mohit Marwah,  Kiara Advani,  Vijender Singh ",UA,"Drama, Thriller            ",NA,4.7,"https://ia.media-imdb.com/images/M/MV5BODc1NzUwOTc1MF5BMl5BanBnXkFtZTgwNDQ3NzY1MzE@._V1_UY209_CR8,0,140,209_AL_.jpg",-1,Fugly,877,    Four friends fight against a corrupt police officer who extorts money from them for not framing them in a murder which the officer committed himself.,2014,13-Jun-14,134 min,tt3683702,Fugly,2014-06-13
"     Director: Vishal Pandya |      Stars: Jay Bhanushali,  Surveen Chawla,  Sushant Singh,  Siddharth Kher ",A,"Drama, Thriller            ",NA,4.5,"https://ia.media-imdb.com/images/M/MV5BOTZiZmVmYmItMTA5Yy00YWI3LThmMDktM2ZmMWI5NDc2MWRkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR3,0,140,209_AL_.jpg",-1,Hate Story 2,1699,    A woman takes revenge on a powerful corrupt politician who forcefully abused her and left her for dead.,2014,18-Jul-14,130 min,tt3619772,Hate Story 2,2014-07-18
"     Director: Devika Bhagat |      Stars: Abhay Deol,  Preeti Desai,  Lillete Dubey,  Rati Agnihotri ",UA,"Comedy, Drama, Romance            ",NA,4.1,"https://ia.media-imdb.com/images/M/MV5BMjMxNjA2MDk5Ml5BMl5BanBnXkFtZTgwMjE4OTU4MDE@._V1_UY209_CR0,0,140,209_AL_.jpg",-1,One by Two,649,    Aspiring musician Amit and dance fanatic Samara get a better insight of what life has in store for them.,2014,31-Jan-14,139 min,tt2951576,One by Two,2014-01-31
"     Director: Bhushan Patel |      Stars: Sunny Leone,  Saahil Prem,  Parvin Dabas,  Sandhya Mridul ",A,Horror            ,NA,3.9,"https://ia.media-imdb.com/images/M/MV5BZWRlZDk4OTUtYTg5NC00ZjE3LTg0NDMtMzM4ZWM4OGQxOTViXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR10,0,140,209_AL_.jpg",-1,Ragini MMS 2,2312,    A sleazy film director's decision to shoot his latest erotic horror movie in a notorious haunted house angers the vengeful spirit of its past inhabitant.,2014,21-Mar-14,119 min,tt2609218,Ragini MMS 2,2014-03-21
"     Director: Samir Tewari |      Stars: Arshad Warsi,  Soha Ali Khan,  Naatak Amaan,  Rajesh Balwani ",UA,Comedy            ,NA,3.7,"https://ia.media-imdb.com/images/M/MV5BZDVjMTRiMTAtZWEyOC00MDNiLTk2YzEtZmJmZmY3YmI0OWQ0XkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY209_CR2,0,140,209_AL_.jpg",-1,Mr Joe B. Carvalho,418,    A small time detective is hired to bring back the daughter of a businessman who has run away from home with the house chef.,2014,03-Jan-14,130 min,tt2876408,Mr Joe B Carvalho,2014-01-03
"     Director: Prabhudheva |      Stars: Shahid Kapoor,  Ajay Devgn,  Sonakshi Sinha,  Prabhas ",UA,Action            ,"171,795",3.3,"https://ia.media-imdb.com/images/M/MV5BNDkxMjZiYjYtZjZkZi00M2ZiLWE2MjMtNDc2NDQzZDNmY2M2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR2,0,140,209_AL_.jpg",-1,Action Jackson,2574,"    In order to escape crime and clutches of a ruthless mafia, a Bangkok based hit man seeks the help of his lookalike, a Mumbai based goon.",2014,05-Dec-14,144 min,tt0403935,Action Jackson,2014-12-05
"     Director: Satish Kaushik |      Stars: Sharman Joshi,  Mahie Gill,  Asrani,  Lankesh Bhardwaj ",UA,"Comedy, Drama            ",NA,3.6,"https://ia.media-imdb.com/images/M/MV5BNzExOTI4NTIwMV5BMl5BanBnXkFtZTgwOTczMDM0NjE@._V1_UY209_CR8,0,140,209_AL_.jpg",-1,Gang of Ghosts,289,    A story about a group of ghosts who have lost their shelter due to urbanization. The story starts with a struggling wannabe director who somehow crosses paths with a stranger. The stranger ...                See full summary »,2014,21-Mar-14,128 min,tt3531604,Gang of Ghosts,2014-03-21
"     Director: Umesh Bist |      Stars: Pulkit Samrat,  Bilal Amrohi,  Sarah-Jane Dias,  Mandira Bedi ",UA,"Comedy, Drama            ",NA,3.5,"https://ia.media-imdb.com/images/M/MV5BNDIwNGMxNjktOTA1OC00MjRhLWJjMDktMGQ5MWQ2ZDlmY2Q4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR3,0,140,209_AL_.jpg",-1,O Teri,482,"    Prantabh and Anand, associated with a news channel in Delhi, are in search of a big scam to prove a point to their senior. A dead body accidentally lands up in their car.",2014,28-Mar-14,107 min,tt3483596,O Teri,2014-03-28
"     Director: Vikram Bhatt |      Stars: Bipasha Basu,  Imran Abbas,  Mukul Dev,  Deep Raj Rana ",UA,"Action, Horror, Sci-Fi            ",NA,3.2,"https://ia.media-imdb.com/images/M/MV5BMTcyNjg5NjUzN15BMl5BanBnXkFtZTgwODk1MTQ1MTE@._V1_UY209_CR3,0,140,209_AL_.jpg",-1,Creature,1080,    A newly-opened forest lodge finds itself under attack from a recently awakened creature.,2014,12-Sep-14,134 min,tt3619854,Creature,2014-09-12
"     Director: Ananth Narayan Mahadevan |      Stars: Himesh Reshammiya,  Yo Yo Honey Singh,  Irrfan Khan,  Zoya Afroz ",UA,Thriller            ,NA,3.3,"https://ia.media-imdb.com/images/M/MV5BNzY2NTg5OTcyNF5BMl5BanBnXkFtZTgwOTcxNzI2MTE@._V1_UY209_CR2,0,140,209_AL_.jpg",-1,The Xpose,1351,"    This is a dramatic chain of events in the most glamorous ,swinging era of Hindi films... the 1960s. It was a decade when film stars tasted success and carried their larger than life screen ...                See full summary »",2014,16-May-14,113 min,tt3645014,The Xpose,2014-05-16
"     Director: Divya Khosla Kumar |      Stars: Himansh Kohli,  Vikas Verma,  Ashish Bhatia,  Vivek Bhatnagar ",UA,"Drama, Romance            ",NA,2.7,"https://ia.media-imdb.com/images/M/MV5BNTcxMzQxYzktYzZlOS00MzBlLTk0NjMtY2NlOGQ1ZmI5ZTIxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",-1,Yaariyan,2677,    A college student must win an inter college competition to save his college from being demolished by property builders.,2014,10-Jan-14,145 min,tt3382148,Yaariyan,2014-01-10
